"Aerospatiale (Nord) 262","ND2"
"Dassault Falcon 900","DF9"
"De Havilland Canada DHC-2 Beaver","DHP"
"De Havilland Canada DHC-2 Turbo-Beaver","DHR"
"De Havilland Canada DHC-3 Otter","DHL"
"De Havilland Canada DHC-4 Caribou","DHC"
"De Havilland Canada DHC-6 Twin Otter","DHT"
"De Havilland Canada DHC-7 Dash 7","DH7"
"De Havilland Canada DHC-8-100 Dash 8 / 8Q","DH1"
"De Havilland Canada DHC-8-200 Dash 8 / 8Q","DH2"
"De Havilland Canada DHC-8-300 Dash 8","DH3"
"De Havilland Canada DHC-8-400 Dash 8Q","DH4"
"De Havilland DH.104 Dove","DHD"
"De Havilland DH.114 Heron","DHH"
"Douglas DC-10","D10"
"Douglas DC-3","D3F"
"Douglas DC-6","D6F"
"Douglas DC-8-50","D8T"
"Douglas DC-8-62","D8L"
"Douglas DC-8-72","D8Q"
"Douglas DC-9-10","D91"
"Douglas DC-9-20","D92"
"Douglas DC-9-30","D93"
"Douglas DC-9-40","D94"
"Douglas DC-9-50","D95"
"Embraer 170","E70"
"Embraer 175","E75"
"Embraer 175 (long wing)","E7W"
"Embraer 175 (short wing)","E7W"
"Embraer 190","E90"
"Embraer 195","E95"
"Embraer E190-E2","290"
"Embraer E195-E2","295"
"Embraer EMB 110 Bandeirante","EMB"
"Embraer EMB 120 Brasilia","EM2"
"Embraer Legacy 450",\N
"Embraer Legacy 600","ER3"
"Embraer Phenom 100","EP1"
"Embraer Phenom 300","EP3"
"Embraer RJ135","ER3"
"Embraer RJ140","ERD"
"Embraer RJ145","ER4"
"Fairchild Dornier 328JET","FRJ"
"Fairchild Dornier Do.228","D28"
"Fairchild Dornier Do.328","D38"
"Fokker 100","100"
"Fokker 50","F50"
"Fokker 70","F70"
"Fokker F27 Friendship","F27"
"Fokker F28 Fellowship","F21"
"Gulfstream Aerospace G-159 Gulfstream I","GRS"
"Gulfstream G280","GR3"
"Gulfstream G650","GJ6"
"Gulfstream IV","GJ4"
"Gulfstream V","GJ5"
"Gulfstream/Rockwell (Aero) Commander","ACP"
"Gulfstream/Rockwell (Aero) Turbo Commander","ACT"
"Harbin Yunshuji Y12","YN2"
"Hawker Siddeley HS 748","HS7"
"Ilyushin IL114","I14"
"Ilyushin IL18","IL8"
"Ilyushin IL62","IL6"
"Ilyushin IL76","IL7"
"Ilyushin IL86","ILW"
"Ilyushin IL96","I93"
"Learjet 35","LRJ"
"Learjet 60","LRJ"
"Lockheed L-1011 Tristar","L10"
"Lockheed L-1049 Super Constellation","L49"
"Lockheed L-182 / 282 / 382 (L-100) Hercules","LOH"
"Lockheed L-188 Electra","LOE"
"McDonnell Douglas MD-11","M11"
"McDonnell Douglas MD-81","M81"
"McDonnell Douglas MD-82","M82"
"McDonnell Douglas MD-83","M83"
"McDonnell Douglas MD-87","M87"
"McDonnell Douglas MD-88","M88"
"McDonnell Douglas MD-90","M90"
"NAMC YS-11","YS1"
"Partenavia P.68","PN6"
"Pilatus Britten-Norman BN-2A Mk III Trislander","BNT"
"Pilatus Britten-Norman BN-2A/B Islander","BNI"
"Pilatus PC-12","PL2"
"Pilatus PC-6 Turbo Porter","PL6"
"Piper PA-28 (above 200 hp)",\N
"Piper PA-28 (up to 180 hp)",\N
"Piper PA-31 Navajo","PA2"
"Piper PA-44 Seminole",\N
"Piper PA-46","PAG"
"Saab 2000","S20"
"Saab SF340A/B","SF3"
"Shorts SC-5 Belfast","SHB"
"Shorts SC-7 Skyvan","SHS"
"Shorts SD.330","SH3"
"Shorts SD.360","SH6"
"Sikorsky S-58T","S58"
"Sikorsky S-61","S61"
"Sikorsky S-76","S76"
"Sikorsky S-92","S92"
"Sukhoi Superjet 100-95","SU9"
"Tupolev Tu-134","TU3"
"Tupolev Tu-144",\N
"Tupolev Tu-154","TU5"
"Tupolev Tu-204","T20"
"Yakovlev Yak-40","YK4"
"Yakovlev Yak-42","YK2"
