"Cessna 182 Skylane"
"Cessna 208 Caravan"
"Cessna 210 Centurion"
"Cessna Citation CJ3"
"Cessna Citation CJ4"
"Cessna Citation Excel"
"Cessna Citation I"
"Cessna Citation II"
"Cessna Citation Mustang"
"Cessna Citation Sovereign"
"Cessna Citation X"
"COMAC C-919"
"Concorde"
"Dassault Falcon 2000"
"Dassault Falcon 50"
"Dassault Falcon 7X"
"Dassault Falcon 900"
"De Havilland Canada DHC-2 Beaver"
"De Havilland Canada DHC-2 Turbo-Beaver"
"De Havilland Canada DHC-3 Otter"
"De Havilland Canada DHC-4 Caribou"
"De Havilland Canada DHC-6 Twin Otter"
"De Havilland Canada DHC-7 Dash 7"
"De Havilland Canada DHC-8-100 Dash 8 / 8Q"
"De Havilland Canada DHC-8-200 Dash 8 / 8Q"
"De Havilland Canada DHC-8-300 Dash 8"
"De Havilland Canada DHC-8-400 Dash 8Q"
"De Havilland DH.104 Dove"
"De Havilland DH.114 Heron"
"Douglas DC-10"
"Douglas DC-3"
"Douglas DC-6"
"Douglas DC-8-50"
"Douglas DC-8-62"
"Douglas DC-8-72"
"Douglas DC-9-10"
"Douglas DC-9-20"
"Douglas DC-9-30"
"Douglas DC-9-40"
"Douglas DC-9-50"
"Embraer 170"
"Embraer 175"
"Embraer 175 (long wing)"
"Embraer 175 (short wing)"
"Embraer 190"
"Embraer 195"
"Embraer E190-E2"
"Embraer E195-E2"
"Embraer EMB 110 Bandeirante"
"Embraer EMB 120 Brasilia"
"Embraer Legacy 450"
"Embraer Legacy 600"
"Embraer Phenom 100"
"Embraer Phenom 300"
"Embraer RJ135"
"Embraer RJ140"
"Embraer RJ145"
"Fairchild Dornier 328JET"
"Fairchild Dornier Do.228"
"Fairchild Dornier Do.328"
"Fokker 100"
"Fokker 50"
"Fokker 70"
"Fokker F27 Friendship"
"Fokker F28 Fellowship"
"Gulfstream Aerospace G-159 Gulfstream I"
"Gulfstream G280"
"Gulfstream G650"
"Gulfstream IV"
"Gulfstream V"
"Gulfstream/Rockwell (Aero) Commander"
"Gulfstream/Rockwell (Aero) Turbo Commander"
"Harbin Yunshuji Y12"
"Hawker Siddeley HS 748"
"Ilyushin IL114"
"Ilyushin IL18"
"Ilyushin IL62"
"Ilyushin IL76"
"Ilyushin IL86"
"Ilyushin IL96"
"Learjet 35"
"Learjet 60"
"Lockheed L-1011 Tristar"
"Lockheed L-1049 Super Constellation"
"Lockheed L-182 / 282 / 382 (L-100) Hercules"
"Lockheed L-188 Electra"
"McDonnell Douglas MD-11"
"McDonnell Douglas MD-81"
"McDonnell Douglas MD-82"
"McDonnell Douglas MD-83"
"McDonnell Douglas MD-87"
"McDonnell Douglas MD-88"
"McDonnell Douglas MD-90"
"NAMC YS-11"
"Partenavia P.68"
"Pilatus Britten-Norman BN-2A Mk III Trislander"
"Pilatus Britten-Norman BN-2A/B Islander"
"Pilatus PC-12"
"Pilatus PC-6 Turbo Porter"
"Piper PA-28 (above 200 hp)"
"Piper PA-28 (up to 180 hp)"
"Piper PA-31 Navajo"
"Piper PA-44 Seminole"
"Piper PA-46"
"Saab 2000"
"Saab SF340A/B"
"Shorts SC-5 Belfast"
"Shorts SC-7 Skyvan"
"Shorts SD.330"
"Shorts SD.360"
"Sikorsky S-58T"
"Sikorsky S-61"
"Sikorsky S-76"
"Sikorsky S-92"
"Sukhoi Superjet 100-95"
"Tupolev Tu-134"
"Tupolev Tu-144"
"Tupolev Tu-154"
"Tupolev Tu-204"
"Yakovlev Yak-40"
"Yakovlev Yak-42"
